OBJECTID;ID;STADSDEEL;BUURT_CODE;STRAAT;EIGENAAR;BEHEERDER;ONDERHOUDER;SOORT;VOET;ZITOBJECT;AFWERKING;KLEUR;AANLEG_JAAR;STANDPLAATS;LOCATIE;LEVERANCIER;geo_shape;geo_point_2d
1144;10616;Gestel;1713;Maria van Bourgondiëlaan;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Kunststof;Lak;Groen;2008;Beplanting;Overig;;"{""coordinates"": [5.457383532445352, 51.43060068775009], ""type"": ""Point""}";51.43060068775009, 5.457383532445352
1146;10619;Tongelre;1335;Keizersmantelstraat;BOR;BOR Stedelijk;BOR Stedelijk;Picknickset;Beton;Hout;Beits;Licht bruin;2008;Verharding;Park;;"{""coordinates"": [5.521293040310581, 51.45100078858551], ""type"": ""Point""}";51.45100078858551, 5.521293040310581
1148;13192;Gestel;1726;;Particulier;Particulier;Particulier;;;;;;2008;;;;"{""coordinates"": [5.476850693441619, 51.42290362304065], ""type"": ""Point""}";51.42290362304065, 5.476850693441619
1154;13274;Gestel;1711;Scheidingstraat;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Verharding;Plein;;"{""coordinates"": [5.466816173741796, 51.427897913236315], ""type"": ""Point""}";51.427897913236315, 5.466816173741796
1156;12956;Park Meerland;1640;Waterfront;BOR;BOR Stedelijk;BOR Stedelijk;Flyer Eagle;Staal;Hout;Onbehandeld;Licht bruin;2011;Verharding;Park;;"{""coordinates"": [5.405222171020048, 51.440491233245716], ""type"": ""Point""}";51.440491233245716, 5.405222171020048
1157;12717;Tongelre;1334;Urkhovenseweg;BOR;BOR Natuur;BOR Natuur;Zitbank;Staal;Hout;Beits;Donker bruin;2009;Gazon;Park;;"{""coordinates"": [5.529627111773398, 51.439244236617704], ""type"": ""Point""}";51.439244236617704, 5.529627111773398
1160;10632;Tongelre;1335;;Particulier;Particulier;Particulier;Zitbank;Beton;Hout;Beits;Donker bruin;2006;Verharding;Overig;;"{""coordinates"": [5.517774666308978, 51.449395076597554], ""type"": ""Point""}";51.449395076597554, 5.517774666308978
1163;11055;Stratum;1221;Kerstroosplein;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Lak;Licht bruin;2008;Verharding;Park;;"{""coordinates"": [5.493395510766605, 51.41946294874509], ""type"": ""Point""}";51.41946294874509, 5.493395510766605
1164;11843;Strijp 1;1615;Langenakkerweg;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Verharding;Park;;"{""coordinates"": [5.449946500551946, 51.44304846142394], ""type"": ""Point""}";51.44304846142394, 5.449946500551946
1166;12194;Park Henri Dunant;1532;STD.P. Henry Dunant;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Gazon;Park;;"{""coordinates"": [5.470350636598042, 51.48059951048003], ""type"": ""Point""}";51.48059951048003, 5.470350636598042
1170;10497;Woensel noord 1;1524;Lisieuxhof;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Anders;Donker bruin;2006;Verharding;Park;;"{""coordinates"": [5.451083689959799, 51.48875964668675], ""type"": ""Point""}";51.48875964668675, 5.451083689959799
1171;11441;Woensel noord 1;1512;Japiksestraat;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Verharding;Park;;"{""coordinates"": [5.459809309661826, 51.473848159902886], ""type"": ""Point""}";51.473848159902886, 5.459809309661826
1173;11096;Gestel;1731;Severijnpark;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2008;Gazon;Plein;;"{""coordinates"": [5.445516964104755, 51.42406126336922], ""type"": ""Point""}";51.42406126336922, 5.445516964104755
1179;14882;Stratum;1233;;Particulier;Particulier;;;;;;;;;;;"{""coordinates"": [5.500325684893123, 51.4261334968979], ""type"": ""Point""}";51.4261334968979, 5.500325684893123
1181;14884;Tongelre;1336;;BOR;BOR Stedelijk;;;;;;;;;;;"{""coordinates"": [5.50265214340615, 51.4494848423987], ""type"": ""Point""}";51.4494848423987, 5.50265214340615
1184;14888;Tongelre;1336;;BOR;BOR Stedelijk;;;;;;;;;;;"{""coordinates"": [5.50223260224607, 51.449286949504355], ""type"": ""Point""}";51.449286949504355, 5.50223260224607
1198;15164;Tongelre;1336;;BOR;BOR Stedelijk;;;;;;;;;;;"{""coordinates"": [5.5026472651509115, 51.44951833901078], ""type"": ""Point""}";51.44951833901078, 5.5026472651509115
1202;15175;Stratum;1226;;BOR;BOR Stedelijk;;Solitaire bank;Beton;Hout;Lak;Donker bruin;;Verharding;Park;;"{""coordinates"": [5.47815793411958, 51.4120450075184], ""type"": ""Point""}";51.4120450075184, 5.47815793411958
1206;15179;Stratum;1232;;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2014;Verharding;Park;Ergon;"{""coordinates"": [5.503965990099747, 51.426929086983215], ""type"": ""Point""}";51.426929086983215, 5.503965990099747
1209;10457;Stratum;1238;Floralaan Oost;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Beplanting;Park;;"{""coordinates"": [5.50500342210779, 51.41915866875567], ""type"": ""Point""}";51.41915866875567, 5.50500342210779
1210;13307;Gestel;1725;Buitengebied 50;Sportpark;Sportpark;Sportpark;;;;;;2006;;;;"{""coordinates"": [5.4510588459884906, 51.41503205426476], ""type"": ""Point""}";51.41503205426476, 5.4510588459884906
1212;13734;Woensel noord 1;1512;B.P. Lieven de Keylaan;BOR;BOR Stedelijk;BOR Stedelijk;;;Kunststof;;;2012;;;;"{""coordinates"": [5.4634821089596635, 51.4660867244408], ""type"": ""Point""}";51.4660867244408, 5.4634821089596635
1217;13503;Park Meerland;1640;Waterfront;BOR;BOR Stedelijk;BOR Stedelijk;Flyer Eagle;Staal;Hout;Onbehandeld;Licht bruin;2011;Gazon;Park;Samson;"{""coordinates"": [5.403735765528342, 51.44312149737853], ""type"": ""Point""}";51.44312149737853, 5.403735765528342
1219;13585;Strijp 2;1633;Noord Brabantlaan;BOR;BOR Stedelijk;BOR Stedelijk;;Staal;Hout;Onbehandeld;Donker bruin;2012;Verharding;;;"{""coordinates"": [5.423910656213812, 51.43581953890451], ""type"": ""Point""}";51.43581953890451, 5.423910656213812
1227;10412;Gestel;1721;Mendelssohnlaan;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Verharding;Plein;;"{""coordinates"": [5.451179124196756, 51.42557972811445], ""type"": ""Point""}";51.42557972811445, 5.451179124196756
1228;10425;Woensel noord 1;1520;Steenoven;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2009;Gazon;Park;;"{""coordinates"": [5.4236748251358184, 51.4830919977072], ""type"": ""Point""}";51.4830919977072, 5.4236748251358184
1229;12290;Woensel noord 2;1534;Nabucco;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Beits;Donker bruin;2006;Verharding;Plein;;"{""coordinates"": [5.473368368884483, 51.490209748042936], ""type"": ""Point""}";51.490209748042936, 5.473368368884483
1235;12067;Strijp 1;1611;Lodewijk Napoleonplein;BOR;BOR Stedelijk;BOR Stedelijk;Picknickset;Staal;Kunststof;Beits;Licht bruin;2006;Beplanting;Plein;;"{""coordinates"": [5.467466512377585, 51.43653468657605], ""type"": ""Point""}";51.43653468657605, 5.467466512377585
1236;11866;Woensel zuid;1421;Groenewoudseweg;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Onbehandeld;Donker bruin;2006;Gazon;Park;;"{""coordinates"": [5.451569866836144, 51.455052321909314], ""type"": ""Point""}";51.455052321909314, 5.451569866836144
1237;11870;Woensel zuid;1421;Fultonplein;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Verharding;Plein;;"{""coordinates"": [5.4576742475505755, 51.45684771143569], ""type"": ""Point""}";51.45684771143569, 5.4576742475505755
1238;11871;Woensel zuid;1421;Fultonplein;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Verharding;Plein;;"{""coordinates"": [5.457699371199624, 51.45694222994025], ""type"": ""Point""}";51.45694222994025, 5.457699371199624
1240;11875;Woensel zuid;1424;Willem van Kesselstraat;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Onbehandeld;Donker bruin;2023;Beplanting;Park;;"{""coordinates"": [5.466411843499746, 51.462886513806396], ""type"": ""Point""}";51.462886513806396, 5.466411843499746
1246;11884;Woensel zuid;1424;;Particulier;Particulier;Particulier;Zitbank;Beton;Kunststof;Lak;Licht bruin;2006;Verharding;Overig;;"{""coordinates"": [5.4686101239597695, 51.46375678009767], ""type"": ""Point""}";51.46375678009767, 5.4686101239597695
1247;11885;Woensel zuid;1424;;Particulier;Particulier;Particulier;Zitbank;Beton;Kunststof;Lak;Licht bruin;2006;Verharding;Overig;;"{""coordinates"": [5.4686235944833275, 51.46371720261487], ""type"": ""Point""}";51.46371720261487, 5.4686235944833275
1248;11887;Woensel zuid;1424;;Particulier;Particulier;Particulier;Zitbank;Beton;Kunststof;Lak;Licht bruin;2006;Verharding;Overig;;"{""coordinates"": [5.468238792116264, 51.46482185326002], ""type"": ""Point""}";51.46482185326002, 5.468238792116264
1250;11889;Woensel zuid;1424;;Particulier;Particulier;Particulier;Zitbank;Beton;Kunststof;Lak;Licht bruin;2006;Verharding;Overig;;"{""coordinates"": [5.468019223703375, 51.46479906684044], ""type"": ""Point""}";51.46479906684044, 5.468019223703375
1255;13306;Gestel;1725;Buitengebied 50;Sportpark;Sportpark;Sportpark;;;;;;2006;;;;"{""coordinates"": [5.451085584215234, 51.41497129398503], ""type"": ""Point""}";51.41497129398503, 5.451085584215234
1258;13310;Gestel;1725;Buitengebied 50;Sportpark;Sportpark;Sportpark;;;;;;2006;;;;"{""coordinates"": [5.450529684163816, 51.414880254872536], ""type"": ""Point""}";51.414880254872536, 5.450529684163816
1261;12584;Gestel;1725;Locatellistraat;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Hout;Beits;Donker bruin;2006;Gazon;Overig;;"{""coordinates"": [5.451001898395312, 51.41655592951872], ""type"": ""Point""}";51.41655592951872, 5.451001898395312
1264;12595;Woensel zuid;1432;Europalaan;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Staal;Kunststof;Lak;Donker bruin;2006;Gazon;Overig;;"{""coordinates"": [5.480788363689451, 51.45714216003194], ""type"": ""Point""}";51.45714216003194, 5.480788363689451
1267;12319;Park Centrum;1217;STD.P. Stadswandelpark;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Licht bruin;2006;Beplanting;Park;;"{""coordinates"": [5.479791353070908, 51.425732971975705], ""type"": ""Point""}";51.425732971975705, 5.479791353070908
1268;12326;Park Centrum;1711;PL.. Romantica;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Gazon;Park;;"{""coordinates"": [5.475791057570914, 51.42764190163511], ""type"": ""Point""}";51.42764190163511, 5.475791057570914
1274;12041;Strijp 1;1611;Graaf Adolfstraat;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2006;Verharding;Park;;"{""coordinates"": [5.463797513547022, 51.43571110035063], ""type"": ""Point""}";51.43571110035063, 5.463797513547022
1276;11053;Stratum;1221;Kerstroosplein;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Lak;Licht bruin;2008;Verharding;Park;;"{""coordinates"": [5.493442054425748, 51.41942927059718], ""type"": ""Point""}";51.41942927059718, 5.493442054425748
1277;11054;Stratum;1221;Kerstroosplein;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Lak;Licht bruin;2008;Verharding;Park;;"{""coordinates"": [5.4938260699481365, 51.41935452009482], ""type"": ""Point""}";51.41935452009482, 5.4938260699481365
1278;11057;Stratum;1221;Kerstroosplein;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Lak;Licht bruin;2008;Verharding;Park;;"{""coordinates"": [5.4934710643697215, 51.41931154620964], ""type"": ""Point""}";51.41931154620964, 5.4934710643697215
1282;12079;Strijp 1;1612;;BOR;BOR Stedelijk;BOR Stedelijk;Laths;Staal;Hout;Beits;Grijs;2017;Beplanting;Plein;Grijsen;"{""coordinates"": [5.46737554447232, 51.440460920446604], ""type"": ""Point""}";51.440460920446604, 5.46737554447232
1283;13680;Stratum;1237;Venkelhof;BOR;BOR Stedelijk;BOR Stedelijk;;;Hout;;;2012;;;;"{""coordinates"": [5.500203084003592, 51.4198772462775], ""type"": ""Point""}";51.4198772462775, 5.500203084003592
1285;12859;Stratum;1237;Lavendelplein;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Beits;Donker bruin;2012;Verharding;Plein;;"{""coordinates"": [5.500532707715356, 51.42053150925976], ""type"": ""Point""}";51.42053150925976, 5.500532707715356
1289;12866;Stratum;1224;Buitengebied in brt: 243;BOR;BOR buitengebied;BOR Natuur;Model Eindhoven;Beton;Hout;Lak;Groen;2012;Gazon;Park;;"{""coordinates"": [5.498382336997365, 51.406814618349856], ""type"": ""Point""}";51.406814618349856, 5.498382336997365
1292;12435;Woensel noord 2;1534;Otello;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Beits;Donker bruin;2006;Verharding;Plein;;"{""coordinates"": [5.478181568754602, 51.490012903747505], ""type"": ""Point""}";51.490012903747505, 5.478181568754602
1293;12975;Woensel noord 2;1534;Roodkapje;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Beton;Hout;Beits;Donker bruin;2012;Verharding;Park;;"{""coordinates"": [5.480311655020253, 51.48810514243109], ""type"": ""Point""}";51.48810514243109, 5.480311655020253
1297;9161;Woensel noord 2;1544;Buitengebied 487;BOR;BOR buitengebied;BOR Natuur;Model Eindhoven;Beton;Hout;Lak;Licht bruin;2012;Gazon;Park;;"{""coordinates"": [5.5058174922530805, 51.48374608003291], ""type"": ""Point""}";51.48374608003291, 5.5058174922530805
1298;9165;Woensel noord 2;1546;Buitengebied 489;BOR;BOR buitengebied;BOR Natuur;Model Eindhoven;Beton;Hout;Lak;Licht bruin;2012;Gazon;Park;;"{""coordinates"": [5.504298081558309, 51.48589530150347], ""type"": ""Point""}";51.48589530150347, 5.504298081558309
1301;12948;Park Meerland;1640;Grasbaan;BOR;BOR Stedelijk;BOR Stedelijk;Flyer Eagle;Staal;Hout;Onbehandeld;Licht bruin;2011;Verharding;Park;;"{""coordinates"": [5.407383814946706, 51.439139417886885], ""type"": ""Point""}";51.439139417886885, 5.407383814946706
1305;12335;Gestel;1711;Guido Gezellestraat;BOR;BOR Stedelijk;BOR Stedelijk;Zitbank;Staal;Hout;Lak;Licht bruin;2006;Verharding;Plein;;"{""coordinates"": [5.475366760498246, 51.43175186626434], ""type"": ""Point""}";51.43175186626434, 5.475366760498246
1311;13420;Gestel;1725;;Particulier;Particulier;Particulier;Zitbank;Staal;Hout;Beits;Licht bruin;2012;Anders;Plein;;"{""coordinates"": [5.447823494502985, 51.41906971702315], ""type"": ""Point""}";51.41906971702315, 5.447823494502985
1316;9844;Park Philips de Jongh;1627;STD.P. Philips de Jongh;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Lak;Donker bruin;2010;Beplanting;Park;;"{""coordinates"": [5.4441035076419055, 51.45900845808948], ""type"": ""Point""}";51.45900845808948, 5.4441035076419055
1317;11550;Strijp 2;1634;Zandstrand;BOR;BOR Stedelijk;BOR Stedelijk;Flyer Eagle;Staal;Hout;Onbehandeld;Donker bruin;2006;Verharding;Park;;"{""coordinates"": [5.400707212775132, 51.44496079672832], ""type"": ""Point""}";51.44496079672832, 5.400707212775132
1322;10639;Tongelre;1333;B.P. Geestenberg;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Onbehandeld;Donker bruin;2006;Gazon;Park;;"{""coordinates"": [5.524717882885984, 51.44480437361102], ""type"": ""Point""}";51.44480437361102, 5.524717882885984
1327;13848;Tongelre;1335;Ambonplein;BOR;BOR Stedelijk;BOR Stedelijk;;;Kunststof;;;2012;;;;"{""coordinates"": [5.515059345808687, 51.44764437185544], ""type"": ""Point""}";51.44764437185544, 5.515059345808687
1337;12868;Stratum;1214;Burghplein;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Beits;Donker bruin;2012;Verharding;Plein;;"{""coordinates"": [5.493961199138697, 51.42943352603292], ""type"": ""Point""}";51.42943352603292, 5.493961199138697
1338;13666;Stratum;1214;Burghplein;BOR;BOR Stedelijk;BOR Stedelijk;;;Kunststof;;;2012;;;;"{""coordinates"": [5.493807134267781, 51.429437945796415], ""type"": ""Point""}";51.429437945796415, 5.493807134267781
1339;13723;Woensel zuid;1433;Orpheuslaan;BOR;BOR Stedelijk;BOR Stedelijk;Model Eindhoven;Beton;Kunststof;Onbehandeld;Donker bruin;2012;Gazon;Overig;;"{""coordinates"": [5.488235365974335, 51.45722077167819], ""type"": ""Point""}";51.45722077167819, 5.488235365974335
